Timestamp,Please mention your age group (कृपया अपनी उम्र का उल्लेख करें),Kindly indicate your employment status. (कृपया अपने रोजगार की स्थिति बताएं),What is your main source of news ? (आपके समाचार का मुख्य स्रोत क्या है?),How much time do you spend on news consumption? (आप समाचार पर कितना समय देते हैं?),Which among these do you find most trustworthy source of information? (इनमें से आपको सूचना का सबसे भरोसेमंद स्रोत कौन सा लगता है?),"According to you, which among these news medium is most likely to spread fake news? (आपके अनुसार इनमें से किस माध्यम से फेक न्यूज फेलने की सबसे अधिक संभावना है?)","Which among the following news mediums fact check the news the most? (इनमें से कौन सा समाचार माध्यम, समाचारों की सबसे अधिक जाँच करता है?)","Do you think the problem of fake news was always there in our society? (क्या आपको लगता है कि हमारे समाज में फेक न्यूज की समस्या हमेशा से थी? 1- Strongly Disagree, 2- Disagree, 3-Neutral, 4-Agree, 5-Strongly Agree","Do you fact check ( verify facts in news) what you see/read/hear ? (क्या आप जो देखते/पढ़ते/सुनते हैं, क्या आप समाचारों में तथ्यों की पुष्टि करते हैं?) 1- Strongly Disagree, 2- Disagree, 3-Neutral, 4-Agree, 5-Strongly Agree","Your trust in media has declined over the past few years (आपको लगता है कि पिछले कुछ वर्षों में मीडिया पर आपका भरोसा कम हुआ है?) 1- Strongly Disagree, 2- Disagree, 3-Neutral, 4-Agree, 5-Strongly Agree","Fake news has made you more doubtful/careful about the news that you receive ( फेक न्यूज ने आपको असली खबरों के बारे में अधिक आलोचनात्मक बना दिया है?) 1- Strongly Disagree, 2- Disagree, 3-Neutral, 4-Agree, 5-Strongly Agree","Social Media Platforms has more chances of spreading fake news. (सोशल मीडिया प्लेटफॉर्म्स में फेक न्यूज फैलने की ज्यादा आशंका है)1- Strongly Disagree, 2- Disagree, 3-Neutral, 4-Agree, 5-Strongly Agree",Which age group of people are likely to get more affected by fake news?( किस आयु वर्ग के लोगों के फेक न्यूज से अधिक प्रभावित होने की संभावना है?),What kind of people get most effected by fake news? (किस तरह के लोग फेक न्यूज से सबसे ज्यादा प्रभावित होते हैं?),What do you think is the main reason for the rise of fake news? (आपके अनुसार फेक न्यूज के बढ़ने का मुख्य कारण क्या है?),"Under what circumstances/situation, fake news spreads the most? (किस परिस्थिति/स्थिति में, फेक न्यूज सबसे ज्यादा फैलती है?)","If you got conflicting or different reports of the same story from Newspapers& Magazine, TV& Radio, online news platforms, Social Media Platforms, which among these four versions would you be most inclined to believe? (यदि आपको समाचार पत्रों और पत्रिका, टीवी और रेडियो, ऑनलाइन समाचार प्लेटफार्मों, सोशल मीडिया प्लेटफॉर्म से एक ही कहानी की परस्पर विरोधी या अलग-अलग रिपोर्टें मिलती हैं, तो आप इन चार संस्करणों में से किस पर विश्वास करने के इच्छुक होंगे?)","What is that one main reason that makes you share news with others on platforms like social media platforms, whatsaap, email etc.? (वह एक मुख्य कारण क्या है जो आपको सोशल मीडिया प्लेटफॉर्म, व्हाट्सएप, ईमेल आदि प्लेटफॉर्म पर दूसरों के साथ समाचार साझा करने के लिए मजबूर करता है।)",Which among these gets most effected by fake news? (इनमें से कौन फेक न्यूज से सबसे ज्यादा प्रभावित होता है?),What according to you  are the key indicators of trust in media? (आपके अनुसार मीडिया ट्रस्ट के प्रमुख संकेतक क्या हैं?),What factors do you consider the most while trusting a piece of news? किसी समाचार पर विश्वास करते समय आप किन  चीज़ें पर सबसे अधिक ध्यान देते हैं?),"According to you most, news organisations are.. (आपके अनुसार अधिकांश समाचार संगठन..)",What according to you is the main factor contributing to decline in media trust among people? (आपके अनुसार लोगों के बीच मीडिया के भरोसे में गिरावट का मुख्य कारण क्या है?),Did you ever share a fake news believing it to be true (क्या आपने कभी किसी फेक न्यूज पर विश्वास किया और इसे सच मानकर दूसरों के साथ शेयर किया?)
4/2/2022 21:47:34,18 to 25,Self employed (स्वनियोजित),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),5,5,3,5,5,Above 60 years,Uneducated (अशिक्षित),Commercialisation of Media industry (मीडिया उद्योग का व्यावसायीकरण),Conflict/Riot (संघर्ष/दंगा),News Paper and Magazine (अखबार और पत्रिका),You believe that the news you received is true (आप मानते हैं कि आपको जो खबर मिली है वह सच है),Entire Media gets effected (पूरा मीडिया प्रभावित हो जाता है ),News accuracy (समाचार सटीकता और सत्यापन),Whether that media platform does fact checking and verification of news on their own.(क्या वह मीडिया प्लेटफॉर्म खुद ही खबरों की फैक्ट चेकिंग और वेरिफिकेशन करता है),Concerned with bringing factual and accurate information to public (तथ्यात्मक और सटीक जानकारी को जनता तक पहुँचाने के लिए चिंतित),Fake News (फेक न्यूज),No (नहीं)
4/2/2022 22:21:56,18 to 25,Unemployed (बेरोज़गार),Online News portals (ऑनलाइन समाचार पोर्टल),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),4,4,4,4,4,Above 60 years,Uneducated (अशिक्षित),Competition in Media Industry (मीडिया उद्योग में प्रतिस्पर्धा),Conflict/Riot (संघर्ष/दंगा),News Paper and Magazine (अखबार और पत्रिका),You believe that the news you received is true (आप मानते हैं कि आपको जो खबर मिली है वह सच है),Those people who are targeted (जिन लोगों को निशाना बनाया जाता है),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),The manner in which news is presented on hot/sensitive topics.(जिस तरह से गर्वेदनशील विषयों पर समाचार प्रस्तुत किए जाते हैं।),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Fake News (फेक न्यूज),Not sure (पक्का नहीं)
4/2/2022 22:23:19,18 to 25,Employed (कार्यरत),Online News portals (ऑनलाइन समाचार पोर्टल),2-3 hours,Online News portals (ऑनलाइन समाचार पोर्टल),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),3,5,3,5,5,40 to 60 years,All of the above (ऊपर के सभी),Media Company's Self Interest (मीडिया कंपनी का स्वार्थ),Elections (चुनाव),News Paper and Magazine (अखबार और पत्रिका),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Those people who are targeted (जिन लोगों को निशाना बनाया जाता है),News accuracy (समाचार सटीकता और सत्यापन),Whether that media platform does fact checking and verification of news on their own.(क्या वह मीडिया प्लेटफॉर्म खुद ही खबरों की फैक्ट चेकिंग और वेरिफिकेशन करता है),Concerned with supporting an ideology /political position (एक विचारधारा / राजनीतिक स्थिति का समर्थन कर रहे हैं),Rise of Social Media Platforms (सोशल मीडिया प्लेटफॉर्म की वृद्धि),No (नहीं)
4/2/2022 22:26:38,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),2-3 hours,Social media platforms (सोशल मीडिया प्लेटफॉर्म),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),TV and Radio (टीवी और रेडियो),2,4,4,5,5,25 to 39 years,Uneducated (अशिक्षित),Competition in Media Industry (मीडिया उद्योग में प्रतिस्पर्धा),Socio political instability (सामाजिक राजनीतिक अस्थिरता),TV and Radio (टीवी और रेडियो),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Those people who are targeted (जिन लोगों को निशाना बनाया जाता है),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),How much space that particular platforms gives to the issues of common man.(वह प्लेटफॉर्म आम आदमी के मुद्दों को कितनी जगह देता है।),They themselves don't know what they want (वे खुद नहीं जानते कि वे क्या चाहते हैं),Fake News (फेक न्यूज),I might have shared (मैंने शायद साझा किया होगा)
4/2/2022 22:29:59,24-40,Employed (कार्यरत),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),4,1,4,4,5,18 to 24 years,All of the above (ऊपर के सभी),Media Company's Self Interest (मीडिया कंपनी का स्वार्थ),Socio political instability (सामाजिक राजनीतिक अस्थिरता),News Paper and Magazine (अखबार और पत्रिका),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Whole society (पूरा समाज),News accuracy (समाचार सटीकता और सत्यापन),The manner in which news is presented on hot/sensitive topics.(जिस तरह से गर्वेदनशील विषयों पर समाचार प्रस्तुत किए जाते हैं।),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Lack of resources and skills to check whether the news is true or fake (समाचार सही है या नकली यह जांचने के लिए संसाधनों और कौशल की कमी),Not sure (पक्का नहीं)
4/2/2022 23:27:14,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Social media platforms (सोशल मीडिया प्लेटफॉर्म),TV and Radio (टीवी और रेडियो),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),5,3,4,3,4,40 to 60 years,All of the above (ऊपर के सभी),Media Company's Self Interest (मीडिया कंपनी का स्वार्थ),Socio political instability (सामाजिक राजनीतिक अस्थिरता),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),You believe that the news you received is true (आप मानते हैं कि आपको जो खबर मिली है वह सच है),Whole society (पूरा समाज),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),The manner in which news is presented on hot/sensitive topics.(जिस तरह से गर्वेदनशील विषयों पर समाचार प्रस्तुत किए जाते हैं।),They themselves don't know what they want (वे खुद नहीं जानते कि वे क्या चाहते हैं),Fake News (फेक न्यूज),I might have shared (मैंने शायद साझा किया होगा)
4/2/2022 23:30:30,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),2-3 hours,TV and Radio (टीवी और रेडियो),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),TV and Radio (टीवी और रेडियो),4,4,2,3,5,18 to 24 years,All of the above (ऊपर के सभी),Media Company's Self Interest (मीडिया कंपनी का स्वार्थ),Conflict/Riot (संघर्ष/दंगा),TV and Radio (टीवी और रेडियो),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Whole society (पूरा समाज),News accuracy (समाचार सटीकता और सत्यापन),The inclusion of other people's ideology in news. (अन्य लोगों की विचारधारा को समाचारों में शामिल करना),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Lack of resources and skills to check whether the news is true or fake (समाचार सही है या नकली यह जांचने के लिए संसाधनों और कौशल की कमी),I might have shared (मैंने शायद साझा किया होगा)
4/2/2022 23:43:14,18 to 25,Self employed (स्वनियोजित),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),TV and Radio (टीवी और रेडियो),2,5,5,5,5,18 to 24 years,All of the above (ऊपर के सभी),Motive to harm others/ someone (दूसरों / किसी को नुकसान पहुंचाने का मकसद),Socio political instability (सामाजिक राजनीतिक अस्थिरता),News Paper and Magazine (अखबार और पत्रिका),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Whole society (पूरा समाज),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),The manner in which news is presented on hot/sensitive topics.(जिस तरह से गर्वेदनशील विषयों पर समाचार प्रस्तुत किए जाते हैं।),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Sensationalism (सनसनीखेज खबर),No (नहीं)
4/2/2022 23:45:35,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Social media platforms (सोशल मीडिया प्लेटफॉर्म),Online News Portal (ऑनलाइन समाचार पोर्टल),News Paper and Magazine (अखबार और पत्रिका),3,3,4,4,3,18 to 24 years,All of the above (ऊपर के सभी),Motive to harm others/ someone (दूसरों / किसी को नुकसान पहुंचाने का मकसद),Conflict/Riot (संघर्ष/दंगा),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Whole society (पूरा समाज),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),Whether that media platform does fact checking and verification of news on their own.(क्या वह मीडिया प्लेटफॉर्म खुद ही खबरों की फैक्ट चेकिंग और वेरिफिकेशन करता है),Concerned with supporting an ideology /political position (एक विचारधारा / राजनीतिक स्थिति का समर्थन कर रहे हैं),Lack of resources and skills to check whether the news is true or fake (समाचार सही है या नकली यह जांचने के लिए संसाधनों और कौशल की कमी),I might have shared (मैंने शायद साझा किया होगा)
4/3/2022 11:26:42,40 to 60,Employed (कार्यरत),Online News portals (ऑनलाइन समाचार पोर्टल),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Online News Portal (ऑनलाइन समाचार पोर्टल),Online News Portal  (ऑनलाइन समाचार पोर्टल),2,3,2,2,5,Above 60 years,All of the above (ऊपर के सभी),Media Company's Self Interest (मीडिया कंपनी का स्वार्थ),Natural Calamities/ Pandemic like Corona (प्राकृतिक आपदाएं/कोरोना जैसी महामारी),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Entire Media gets effected (पूरा मीडिया प्रभावित हो जाता है ),News accuracy (समाचार सटीकता और सत्यापन),Whether that media platform does fact checking and verification of news on their own.(क्या वह मीडिया प्लेटफॉर्म खुद ही खबरों की फैक्ट चेकिंग और वेरिफिकेशन करता है),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Rise of Social Media Platforms (सोशल मीडिया प्लेटफॉर्म की वृद्धि),I might have shared (मैंने शायद साझा किया होगा)
4/3/2022 11:34:06,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),2-3 hours,Online News portals (ऑनलाइन समाचार पोर्टल),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),TV and Radio (टीवी और रेडियो),5,3,5,5,2,25 to 39 years,All of the above (ऊपर के सभी),Competition in Media Industry (मीडिया उद्योग में प्रतिस्पर्धा),Conflict/Riot (संघर्ष/दंगा),Online News Portal  (ऑनलाइन समाचार पोर्टल),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Whole society (पूरा समाज),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),Whether that media platform does fact checking and verification of news on their own.(क्या वह मीडिया प्लेटफॉर्म खुद ही खबरों की फैक्ट चेकिंग और वेरिफिकेशन करता है),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Fake News (फेक न्यूज),I might have shared (मैंने शायद साझा किया होगा)
4/3/2022 11:34:12,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),3-5 hours,TV and Radio (टीवी और रेडियो),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),3,5,5,5,5,25 to 39 years,All of the above (ऊपर के सभी),Motive to harm others/ someone (दूसरों / किसी को नुकसान पहुंचाने का मकसद),Socio political instability (सामाजिक राजनीतिक अस्थिरता),News Paper and Magazine (अखबार और पत्रिका),You believe that the news you received is true (आप मानते हैं कि आपको जो खबर मिली है वह सच है),Credibility of the platform that is spreading it (इसे फैलाने वाले प्लेटफॉर्म की विश्वसनीयता),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),Whether that media platform does fact checking and verification of news on their own.(क्या वह मीडिया प्लेटफॉर्म खुद ही खबरों की फैक्ट चेकिंग और वेरिफिकेशन करता है),Concerned with supporting an ideology /political position (एक विचारधारा / राजनीतिक स्थिति का समर्थन कर रहे हैं),Lack of resources and skills to check whether the news is true or fake (समाचार सही है या नकली यह जांचने के लिए संसाधनों और कौशल की कमी),I might have shared (मैंने शायद साझा किया होगा)
4/3/2022 11:41:55,18 to 25,Self employed (स्वनियोजित),Newspapers and Magazines (अखबार और पत्रिका),less than 1 hour,Online News portals (ऑनलाइन समाचार पोर्टल),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),TV and Radio (टीवी और रेडियो),4,3,4,5,4,Above 60 years,Uneducated (अशिक्षित),Media Company's Self Interest (मीडिया कंपनी का स्वार्थ),Socio political instability (सामाजिक राजनीतिक अस्थिरता),TV and Radio (टीवी और रेडियो),You believe that the news you received is true (आप मानते हैं कि आपको जो खबर मिली है वह सच है),Entire Media gets effected (पूरा मीडिया प्रभावित हो जाता है ),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),The inclusion of other people's ideology in news. (अन्य लोगों की विचारधारा को समाचारों में शामिल करना),Concerned with supporting an ideology /political position (एक विचारधारा / राजनीतिक स्थिति का समर्थन कर रहे हैं),Fake News (फेक न्यूज),No (नहीं)
4/3/2022 11:42:38,18 to 25,Unemployed (बेरोज़गार),Online News portals (ऑनलाइन समाचार पोर्टल),2-3 hours,Online News portals (ऑनलाइन समाचार पोर्टल),TV and Radio (टीवी और रेडियो),Online News Portal  (ऑनलाइन समाचार पोर्टल),5,5,5,4,4,18 to 24 years,All of the above (ऊपर के सभी),Competition in Media Industry (मीडिया उद्योग में प्रतिस्पर्धा),Conflict/Riot (संघर्ष/दंगा),Online News Portal  (ऑनलाइन समाचार पोर्टल),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Those people who are targeted (जिन लोगों को निशाना बनाया जाता है),News accuracy (समाचार सटीकता और सत्यापन),Whether that media platform does fact checking and verification of news on their own.(क्या वह मीडिया प्लेटफॉर्म खुद ही खबरों की फैक्ट चेकिंग और वेरिफिकेशन करता है),They themselves don't know what they want (वे खुद नहीं जानते कि वे क्या चाहते हैं),Lack of resources and skills to check whether the news is true or fake (समाचार सही है या नकली यह जांचने के लिए संसाधनों और कौशल की कमी),No (नहीं)
4/3/2022 11:46:34,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Online News portals (ऑनलाइन समाचार पोर्टल),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),3,5,3,4,4,18 to 24 years,All of the above (ऊपर के सभी),Competition in Media Industry (मीडिया उद्योग में प्रतिस्पर्धा),Natural Calamities/ Pandemic like Corona (प्राकृतिक आपदाएं/कोरोना जैसी महामारी),Online News Portal  (ऑनलाइन समाचार पोर्टल),"You know it is fake news, but you enjoy sharing it for fun (आप जानते हैं कि यह फेक न्यूज है, लेकिन आप इसे मनोरंजन के लिए साझा करना पसंद करते हैं)",Entire Media gets effected (पूरा मीडिया प्रभावित हो जाता है ),Opinion in news (खबरों में राय),The inclusion of other people's ideology in news. (अन्य लोगों की विचारधारा को समाचारों में शामिल करना),Concerned with supporting an ideology /political position (एक विचारधारा / राजनीतिक स्थिति का समर्थन कर रहे हैं),Lack of resources and skills to check whether the news is true or fake (समाचार सही है या नकली यह जांचने के लिए संसाधनों और कौशल की कमी),No (नहीं)
4/3/2022 11:48:55,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),4,4,4,5,5,Above 60 years,Less Educated (कम पढ़े-लिखे),Commercialisation of Media industry (मीडिया उद्योग का व्यावसायीकरण),Socio political instability (सामाजिक राजनीतिक अस्थिरता),News Paper and Magazine (अखबार और पत्रिका),You believe that the news you received is true (आप मानते हैं कि आपको जो खबर मिली है वह सच है),Whole society (पूरा समाज),News accuracy (समाचार सटीकता और सत्यापन),The manner in which news is presented on hot/sensitive topics.(जिस तरह से गर्वेदनशील विषयों पर समाचार प्रस्तुत किए जाते हैं।),,,
4/3/2022 11:49:52,18 to 25,Unemployed (बेरोज़गार),Online News portals (ऑनलाइन समाचार पोर्टल),less than 1 hour,Online News portals (ऑनलाइन समाचार पोर्टल),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),3,1,1,4,1,25 to 39 years,All of the above (ऊपर के सभी),Commercialisation of Media industry (मीडिया उद्योग का व्यावसायीकरण),Conflict/Riot (संघर्ष/दंगा),News Paper and Magazine (अखबार और पत्रिका),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Whole society (पूरा समाज),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),How much space that particular platforms gives to the issues of common man.(वह प्लेटफॉर्म आम आदमी के मुद्दों को कितनी जगह देता है।),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Sensationalism (सनसनीखेज खबर),I might have shared (मैंने शायद साझा किया होगा)
4/3/2022 11:51:56,18 to 25,Unemployed (बेरोज़गार),Newspapers and Magazines (अखबार और पत्रिका),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),5,3,4,3,4,18 to 24 years,All of the above (ऊपर के सभी),Competition in Media Industry (मीडिया उद्योग में प्रतिस्पर्धा),Conflict/Riot (संघर्ष/दंगा),News Paper and Magazine (अखबार और पत्रिका),Sensational Content (सनसनीखेज खबर),Credibility of the platform that is spreading it (इसे फैलाने वाले प्लेटफॉर्म की विश्वसनीयता),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),Whether that media platform does fact checking and verification of news on their own.(क्या वह मीडिया प्लेटफॉर्म खुद ही खबरों की फैक्ट चेकिंग और वेरिफिकेशन करता है),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Fake News (फेक न्यूज),I might have shared (मैंने शायद साझा किया होगा)
4/3/2022 11:52:40,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),TV and Radio (टीवी और रेडियो),5,4,4,5,4,40 to 60 years,Less Educated (कम पढ़े-लिखे),Media Company's Self Interest (मीडिया कंपनी का स्वार्थ),Conflict/Riot (संघर्ष/दंगा),TV and Radio (टीवी और रेडियो),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Those people who are targeted (जिन लोगों को निशाना बनाया जाता है),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),How much space that particular platforms gives to the issues of common man.(वह प्लेटफॉर्म आम आदमी के मुद्दों को कितनी जगह देता है।),Concerned with supporting an ideology /political position (एक विचारधारा / राजनीतिक स्थिति का समर्थन कर रहे हैं),Rise of Social Media Platforms (सोशल मीडिया प्लेटफॉर्म की वृद्धि),yes (हाँ)
4/3/2022 11:52:50,18 to 25,Unemployed (बेरोज़गार),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),less than 1 hour,Newspapers and Magazines (अखबार और पत्रिका),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),3,3,5,5,5,18 to 24 years,Uneducated (अशिक्षित),Commercialisation of Media industry (मीडिया उद्योग का व्यावसायीकरण),Socio political instability (सामाजिक राजनीतिक अस्थिरता),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),You believe that the news you received is true (आप मानते हैं कि आपको जो खबर मिली है वह सच है),Whole society (पूरा समाज),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),The manner in which news is presented on hot/sensitive topics.(जिस तरह से गर्वेदनशील विषयों पर समाचार प्रस्तुत किए जाते हैं।),Concerned with bringing factual and accurate information to public (तथ्यात्मक और सटीक जानकारी को जनता तक पहुँचाने के लिए चिंतित),Fake News (फेक न्यूज),I might have shared (मैंने शायद साझा किया होगा)
4/3/2022 11:53:11,24-40,Self employed (स्वनियोजित),Online News portals (ऑनलाइन समाचार पोर्टल),less than 1 hour,Online News portals (ऑनलाइन समाचार पोर्टल),TV and Radio (टीवी और रेडियो),Online News Portal  (ऑनलाइन समाचार पोर्टल),5,5,5,5,5,18 to 24 years,All of the above (ऊपर के सभी),Commercialisation of Media industry (मीडिया उद्योग का व्यावसायीकरण),Socio political instability (सामाजिक राजनीतिक अस्थिरता),Online News Portal  (ऑनलाइन समाचार पोर्टल),You believe that the news you received is true (आप मानते हैं कि आपको जो खबर मिली है वह सच है),Whole society (पूरा समाज),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),How much space that particular platforms gives to the issues of common man.(वह प्लेटफॉर्म आम आदमी के मुद्दों को कितनी जगह देता है।),Concerned with supporting an ideology /political position (एक विचारधारा / राजनीतिक स्थिति का समर्थन कर रहे हैं),Fake News (फेक न्यूज),No (नहीं)
4/3/2022 11:53:21,18 to 25,Unemployed (बेरोज़गार),Newspapers and Magazines (अखबार और पत्रिका),less than 1 hour,Online News portals (ऑनलाइन समाचार पोर्टल),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),News Paper and Magazine (अखबार और पत्रिका),4,3,4,3,4,18 to 24 years,All of the above (ऊपर के सभी),Competition in Media Industry (मीडिया उद्योग में प्रतिस्पर्धा),Conflict/Riot (संघर्ष/दंगा),News Paper and Magazine (अखबार और पत्रिका),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Those people who are targeted (जिन लोगों को निशाना बनाया जाता है),Presentation of news without bias/partiality (बिना पक्षपात के समाचारों की प्रस्तुति),How much space that particular platforms gives to the issues of common man.(वह प्लेटफॉर्म आम आदमी के मुद्दों को कितनी जगह देता है।),Concerned with financial gains only (केवल वित्तीय लाभ के लिए चिंतित),Lack of resources and skills to check whether the news is true or fake (समाचार सही है या नकली यह जांचने के लिए संसाधनों और कौशल की कमी),No (नहीं)
4/3/2022 11:58:34,18 to 25,Unemployed (बेरोज़गार),Online News portals (ऑनलाइन समाचार पोर्टल),less than 1 hour,Social media platforms (सोशल मीडिया प्लेटफॉर्म),TV and Radio (टीवी और रेडियो),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),5,3,4,3,3,25 to 39 years,Uneducated (अशिक्षित),Competition in Media Industry (मीडिया उद्योग में प्रतिस्पर्धा),Socio political instability (सामाजिक राजनीतिक अस्थिरता),Social Media Platforms (सोशल मीडिया प्लेटफॉर्म),You believe that the news will benefit others(आपको विश्वास है कि समाचार से दूसरों को लाभ होगा),Whole society (पूरा समाज),Selectivity of topics (विषयों की चयनात्मकता),How much space that particular platforms gives to the issues of common man.(वह प्लेटफॉर्म आम आदमी के मुद्दों को कितनी जगह देता है।),Concerned with supporting an ideology /political position (एक विचारधारा / राजनीतिक स्थिति का समर्थन कर रहे हैं),Fake News (फेक न्यूज),yes (हाँ)
